Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.11     0.00     4095     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      0.11     0.00     2546     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.00      0.11     0.00     2493     0.00     0.00  Model::nfaces()
  0.00      0.11     0.00     2492     0.00     0.00  Vec3<float>::normalize(float)
  0.00      0.11     0.00     2492     0.00     0.00  Model::face(int)
  0.00      0.11     0.00     2492     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::construct(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      0.11     0.00     2492     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.11     0.00     2492     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<std::vector<int, std::allocator<int> > > >::construct<std::vector<int, std::allocator<int> > >(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      0.11     0.00     2492     0.00     0.00  Vec3<float>::norm() const
  0.00      0.11     0.00     2492     0.00     0.00  Vec3<float>::operator^(Vec3<float> const&) const
  0.00      0.11     0.00     2492     0.00     0.00  Vec3<float>::operator*(Vec3<float> const&) const
  0.00      0.11     0.00     2492     0.00     0.00  Vec3<float>::operator*(float) const
  0.00      0.11     0.00     2492     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.11     0.00     2492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.11     0.00     2492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.11     0.00     2492     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::push_back(std::vector<int, std::allocator<int> > const&)
  0.00      0.11     0.00     2492     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.11     0.00     2492     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.11     0.00     2492     0.00     0.00  std::sqrt(float)
  0.00      0.11     0.00     2047     0.00     0.00  void std::_Construct<Vec3<float>, Vec3<float> >(Vec3<float>*, Vec3<float> const&)
  0.00      0.11     0.00     2047     0.00     0.00  Vec3<float>* std::__addressof<Vec3<float> >(Vec3<float>&)
  0.00      0.11     0.00     1844     0.00     0.00  TGAColor::TGAColor(unsigned char, unsigned char, unsigned char, unsigned char)
  0.00      0.11     0.00     1841     0.00     0.02  triangle(Vec2<int>, Vec2<int>, Vec2<int>, TGAImage&, TGAColor)
  0.00      0.11     0.00     1258     0.00     0.00  __gnu_cxx::new_allocator<Vec3<float> >::construct(Vec3<float>*, Vec3<float> const&)
  0.00      0.11     0.00     1258     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<Vec3<float> > >::construct<Vec3<float> >(std::allocator<Vec3<float> >&, Vec3<float>*, Vec3<float> const&)
  0.00      0.11     0.00     1258     0.00     0.00  std::vector<Vec3<float>, std::allocator<Vec3<float> > >::push_back(Vec3<float> const&)
  0.00      0.11     0.00       52     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const
  0.00      0.11     0.00       49     0.00     0.00  std::vector<Vec3<float>, std::allocator<Vec3<float> > >::size() const
  0.00      0.11     0.00       48     0.00     0.00  __gnu_cxx::__normal_iterator<Vec3<float>*, std::vector<Vec3<float>, std::allocator<Vec3<float> > > >::base() const
  0.00      0.11     0.00       40     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00      0.11     0.00       39     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::max_size() const
  0.00      0.11     0.00       37     0.00     0.00  std::_Vector_base<Vec3<float>, std::allocator<Vec3<float> > >::_M_get_Tp_allocator()
  0.00      0.11     0.00       36     0.00     0.00  __gnu_cxx::new_allocator<Vec3<float> >::max_size() const
  0.00      0.11     0.00       26     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::vector<int, std::allocator<int> > > >::max_size(std::allocator<std::vector<int, std::allocator<int> > > const&)
  0.00      0.11     0.00       26     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::__normal_iterator(std::vector<int, std::allocator<int> >* const&)
  0.00      0.11     0.00       26     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator() const
  0.00      0.11     0.00       26     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::max_size() const
  0.00      0.11     0.00       26     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_copy<false>::__uninit_copy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      0.11     0.00       26     0.00     0.00  std::vector<int, std::allocator<int> >* std::uninitialized_copy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      0.11     0.00       26     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_copy_a<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      0.11     0.00       26     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_move_if_noexcept_a<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      0.11     0.00       24     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Vec3<float> > >::max_size(std::allocator<Vec3<float> > const&)
  0.00      0.11     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<Vec3<float>*, std::vector<Vec3<float>, std::allocator<Vec3<float> > > >::__normal_iterator(Vec3<float>* const&)
  0.00      0.11     0.00       24     0.00     0.00  std::_Vector_base<Vec3<float>, std::allocator<Vec3<float> > >::_M_get_Tp_allocator() const
  0.00      0.11     0.00       24     0.00     0.00  std::vector<Vec3<float>, std::allocator<Vec3<float> > >::max_size() const
  0.00      0.11     0.00       24     0.00     0.00  Vec3<float>* std::__uninitialized_copy<false>::__uninit_copy<Vec3<float>*, Vec3<float>*>(Vec3<float>*, Vec3<float>*, Vec3<float>*)
  0.00      0.11     0.00       24     0.00     0.00  Vec3<float>* std::uninitialized_copy<Vec3<float>*, Vec3<float>*>(Vec3<float>*, Vec3<float>*, Vec3<float>*)
  0.00      0.11     0.00       24     0.00     0.00  Vec3<float>* std::__uninitialized_copy_a<Vec3<float>*, Vec3<float>*, Vec3<float> >(Vec3<float>*, Vec3<float>*, Vec3<float>*, std::allocator<Vec3<float> >&)
  0.00      0.11     0.00       24     0.00     0.00  Vec3<float>* std::__uninitialized_move_if_noexcept_a<Vec3<float>*, Vec3<float>*, std::allocator<Vec3<float> > >(Vec3<float>*, Vec3<float>*, Vec3<float>*, std::allocator<Vec3<float> >&)
  0.00      0.11     0.00       14     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      0.11     0.00       14     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_deallocate(std::vector<int, std::allocator<int> >*, unsigned long)
  0.00      0.11     0.00       14     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      0.11     0.00       14     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      0.11     0.00       13     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::deallocate(std::vector<int, std::allocator<int> >*, unsigned long)
  0.00      0.11     0.00       13     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::allocate(unsigned long, void const*)
  0.00      0.11     0.00       13     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::vector<int, std::allocator<int> > > >::deallocate(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, unsigned long)
  0.00      0.11     0.00       13     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::vector<int, std::allocator<int> > > >::allocate(std::allocator<std::vector<int, std::allocator<int> > >&, unsigned long)
  0.00      0.11     0.00       13     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::difference_type __gnu_cxx::operator-<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&)
  0.00      0.11     0.00       13     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_check_len(unsigned long, char const*) const
  0.00      0.11     0.00       13     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Vec3<float>*>(Vec3<float>*, Vec3<float>*)
  0.00      0.11     0.00       13     0.00     0.00  std::_Vector_base<Vec3<float>, std::allocator<Vec3<float> > >::_M_deallocate(Vec3<float>*, unsigned long)
  0.00      0.11     0.00       13     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_allocate(unsigned long)
  0.00      0.11     0.00       13     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> > const&)
  0.00      0.11     0.00       13     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::end()
  0.00      0.11     0.00       13     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::begin()
